Name,Country,Archipelago,Latitude,Longitude,Type,Military,Runway_1,Runway_2,Surface,Class
Canton Island Airbase,Kiribati,Phoenix Islands,-2.769673,-171.702301,Air taxi,Yes,7900,0,Asphalt,Class_2
Henderson Firld,U.S.,Midway Island,28.2020857,-177.380372,General ,Yes,7800,0,Asphalt,Class_2
Buchholz Army Airbase,Marshall Islands,Marshall Islands,8.720727,167.73138,General ,Yes,6668,0,Asphalt,Class_1
Aeon Airfield,Kiribati,Line Islands,1.7627802,-1571942052,Air taxi,Yes,6000,0,Asphalt,Class_1
Dongshadao Airport,Taiwan,Pratas Island,20.703647,116.7287127,General ,Yes,5085,0,Concrete,Class_1
Dyess Army Airbase,Marshall Islands,Marshall Islands,9.4808858,167.4396228,General ,Yes,4500,0,Asphalt,Class_1
Minami Torishima Airport,Japan,Bonin Islands,24.2874773,153.9758278,General ,Yes,4498,0,Concrete,Class_1
Taiping Island Airbase,Taiwan,Spratly Islands,10.3770533,114.3654603,Air taxi,Yes,3937,0,Concrete,Class_0
Thitu Island Airbase,Philippines,Spratly Islands,11.0533128,114.2851133,Air taxi,Yes,3900,0,Grass,Class_0
Swallow Reef Airbase,Malaysia,Spratly Islands,7.371221,113.842747,General ,Yes,3800,0,Concrete,Class_0
Tarumpitao Point airstrip,Philippines,Palawan Archipelago,9.04443357,117.6330627,Unimproved,Yes,3300,0,Grass,Class_0
Sibutu Airbase,Philippines,Sulu Archipelago,4.8433126,119.4602771,Unimproved,Yes,2800,0,Grass,Class_0
Truong Sa Airbase,Vietnam,Spratly Islands,8.645544793,111.9202258,Air taxi,Yes,2700,0,Concrete,Class_0
Meck Island Airfield,Marshall Islands,Marshall Islands,8.9920171,167.7156849,Unimproved,Yes,2100,0,Grass,Class_0
Northwest Airfield,U.S.,Mariana Islands,13.62372672,144.8549211,Unimproved,No,8500,8500,Concrete,Class_3
North Airfield,U.S.,Mariana Islands,15.0720444,145.6383694,Unimproved,No,8000,8000,Coral,Class_3
Butaritari Atoll airstrip,Kiribati,Gilbert Islands,3.0873368,172.812152,Unimproved,No,5700,0,Asphalt,Class_1
Likiep Atoll airstrip,Marshall Islands,Marshall Islands,9.8235617,169.3099241,Unimproved,No,5400,0,Grass,Class_1
Wotjie airstrip,Marshall Islands,Marshall Islands,9.463239,170.233565,Unimproved,No,4275,0,Grass,Class_1
Tarawa Intl Airport,Kiribati,Gilbert Islands,1.381568,173.146996,Unimproved,No,7000,0,Asphalt,Class_0
Mili Island airstrip,Marshall Islands,Marshall Islands,6.0867332,171.7339319,Unimproved,No,5000,0,Grass,Class_0
Aranuka Atoll airstrip,Kiribati,Gilbert Islands,0.1850773,173.6361413,Unimproved,No,4000,0,Coral,Class_0
Kuria Island airstrip,Kiribati,Gilbert Islands,0.2187598,173.4427576,Unimproved,No,4000,0,Coral,Class_0
Orote airstrip,U.S.,Mariana Islands,13.43799885,144.641538,Unimproved,No,4000,0,Grass,Class_0
Ailinglaplap Airok airstrip,Marshall Islands,Marshall Islands,7.2791667,168.8255556,Unimproved,No,3800,0,Grass,Class_0
Jeh airstrip,Marshall Islands,Marshall Islands,7.565,168.9616667,Unimproved,No,3800,0,Grass,Class_0
Apurawan airstrip,Philippines,Palawan Archipelago,9.5972015,118.3387734,Unimproved,No,3700,0,Grass,Class_0
Rizal airstrip,Philippines,Palawan Archipelago,9.012915914,117.6551375,Unimproved,No,3600,0,Grass,Class_0
Culion airstrip,Philippines,Palawan Archipelago,11.8555518,119.9381689,Unimproved,No,3500,0,Grass,Class_0
Bato airstrip,Philippines,Palawan Archipelago,10.7062615,119.4880715,Unimproved,No,3500,0,Grass,Class_0
Candaraman airstrip,Philippines,Palawan Archipelago,8.0758694,117.1074748,Unimproved,No,3500,0,Grass,Class_0
Nikunau Island airstrip,Kiribati,Gilbert Islands,-1.3143678,176.4106628,Unimproved,No,3400,0,Asphalt,Class_0
Woja airstrip,Marshall Islands,Marshall Islands,7.4532625,168.5524392,Unimproved,No,3400,0,Grass,Class_0
Mabag Airstrip,Philippines,Babuyan Islands,18.8844682,121.2572444,Unimproved,No,3350,0,Grass,Class_0
Wotho airstrip,Marshall Islands,Marshall Islands,10.194185,166.0127206,Unimproved,No,3300,0,Grass,Class_0
Teraina Island airstrip,Kiribati,Line Islands,4.6976043,-160.3941244,Unimproved,No,3133,0,Grass,Class_0
Maiana Atoll airstrip,Kiribati,Gilbert Islands,1.0035861,173.0311027,Unimproved,No,3100,0,Asphalt,Class_0
Nonouti Island airstrip,Kiribati,Gilbert Islands,-0.639646,174.4279519,Unimproved,No,3100,0,Coral,Class_0
Marakei Island airstrip,Kiribati,Gilbert Islands,2.0587048,173.2717377,Unimproved,No,3050,0,Coral,Class_0
Onotoa Island airstrip,Kiribati,Gilbert Islands,-1.7962526,175.5253428,Unimproved,No,3050,0,Coral,Class_0
Fais Airfield,Micronesia,Caroline Islands,9.76274726,140.5179478,Unimproved,No,3000,0,Asphalt,Class_0
