ID,latitude,longitude,runway_L,freq_count,airline_count,surface
NTGM,-16.58390045,-143.6580048,4920,2,0,3
ROIG,24.34449959,124.1869965,4920,2,2,3
ROYN,24.46689987,122.9779968,4920,2,0,3
RPVC,12.07269955,124.5449982,4843,0,4,3
NFNR,-12.48250008,177.0709991,4806,0,0,3
RPUW,13.36100006,121.8259964,4785,1,0,3
RPMW,9.072110176,126.1709976,4765,2,0,3
NTAR,-22.4340992,-151.3609924,4757,2,0,3
RPUN,13.5848999,123.2699966,4599,3,3,3
NTTR,-16.72290039,-151.4660034,4593,3,0,3
WAMN,4.006939888,126.6729965,4593,1,0,3
AYDU,-9.086759567,143.2079926,4593,2,0,3
RPMI,8.130490303,124.2149963,4593,1,0,3
AGGM,-8.327969551,157.2630005,4593,2,0,3
NTAV,-23.8852005,-147.6620026,4592,1,0,3
PG-OPU,-8.050000191,142.9329987,4560,0,0,2
RPVU,12.31099987,122.0849991,4560,1,2,3
RJAM,24.28969955,153.9790039,4500,3,0,3
PKRO,9.396889687,167.470993,4499,5,0,3
LAC,7.37157011,113.8440018,4485,0,0,3
RPMM,7.617219925,124.0589981,4462,0,0,3
MH-BII,11.52250004,165.5650024,4460,0,0,3
RJKB,27.42550087,128.701004,4430,4,0,3
RPVF,12.5024004,124.6360016,4429,1,4,3
AYMN,-6.147739887,143.6569977,4411,0,0,3
Q51,5.644515038,169.1195068,4400,0,0,1
RPMA,6.366819859,124.7509995,4396,0,0,3
AGGK,-10.44970036,161.897995,4377,0,0,1
BUL,-7.2211833,146.6512451,4373,0,0,2
RORY,27.04400063,128.4019928,4340,2,0,3
RJKI,28.32130051,129.9279938,4307,2,0,3
MH-WTE,9.458333015,170.2386169,4275,0,0,0
NTGU,-15.2482996,-146.6170044,4268,1,0,3
RPMU,7.013999939,118.4960022,4265,0,0,2
RPUM,13.20810032,120.6050034,4265,1,0,3
RP13,9.809260368,125.5930023,4265,0,0,3
NTGS,-21.4821949,-135.6370544,4250,0,0,3
AYTB,-5.278610229,141.2259979,4232,1,2,2
